Teams,Winrate,Years Participated,Blue Banners
3024,0.25,14,0
3026,0.537,14,0
3029,0.4,14,0
3035,0.549,14,0
3037,0.3333,14,0
3038,0.5,14,0
3039,0.5625,14,0
3042,0.4524,14,0
3044,0.4583,14,0
3045,0.2609,14,0
3049,0.3654,13,0
3054,0.4444,14,0
3058,0.44,14,0
3061,0.5833,14,1
3065,0.4018,14,1
3067,0.2857,14,0
3070,0.5323,14,0
3075,0.5952,14,0
3082,0.5294,14,0
3083,0.3837,14,0
3090,0.3636,13,0
3091,0.3667,14,0
3096,0.4107,14,0
3098,0.3846,14,0
3100,0.4318,14,0
3102,0.4583,14,0
3103,0.42,14,0
3110,0.15,13,0
3117,0.3636,14,0
3122,0.5556,14,0
3128,0.6154,13,1
3130,0.5938,13,0
3131,0.3333,12,0
3132,0.7222,13,0
3134,0.5,9,0
3136,0.5,13,1
3137,0.6562,12,0
3140,0.3478,13,0
3142,0.7377,13,1
3146,0.4184,13,0
3147,0.5312,13,0
3152,0.4,13,0
3158,0.4667,13,0
3160,0.5833,13,1
3161,0.3721,13,0
3163,0.3333,13,0
3164,0.4333,13,0
3166,0.5192,5,0
3171,0.725,13,1
3172,0.4286,13,0
3173,0.4688,13,0
3175,0.6102,13,3
3176,0.5638,13,0
3179,0.5,13,0
3181,0.5,13,0
3182,0.5091,13,1
3184,0.6,13,0
3187,0.44,13,0
3189,0.4138,13,0
3193,0.4286,13,0
3196,0.4615,13,0
3197,0.5778,13,1
3200,0.5303,13,0
3201,0.413,13,0
3202,0.4,12,0
3204,0.4,13,0
3205,0.5,13,1
3206,0.5172,13,0
3211,0.4767,13,0
3212,0.3333,13,0
3216,0.6875,13,0
3218,0.6148,13,1
3219,0.4038,13,0
3225,0.4545,13,0
3229,0.53,13,1
3234,0.3462,13,0
3242,0.4444,13,0
3243,0.3846,13,0
3245,0.5,13,0
3247,0.5714,13,0
3255,0.5882,13,0
3256,0.5,13,0
3257,0.5556,13,0
3260,0.2917,13,0
3268,0.3704,13,0
3274,0.4605,12,0
3275,0.5714,13,0
3276,0.6667,13,0
3277,0.5625,13,0
3278,0.4,12,0
3282,0.25,13,0
3284,0.5,13,1
3288,0.2727,13,0
3291,0.3333,11,0
3293,0.4444,12,0
3294,0.6364,13,0
3297,0.375,12,0
3298,0.3421,13,0
3300,0.3,13,0
3302,0.3846,13,0
3309,0.5595,13,0
3310,0.9028,13,2
3313,0.5476,13,0
3314,0.4561,13,0
3316,0.4681,13,0
3322,0.7357,13,2
3323,0.4231,13,0
3324,0.5714,13,0
3328,0.5714,13,0
3329,0.4231,13,0
3336,0.3977,13,0
3339,0.7313,13,1
3341,0.5,13,0
3344,0.4681,13,1
3352,0.4,13,0
3354,0.6786,13,0
3355,0.4333,13,1
3357,0.8393,13,2
3359,0.3654,13,0
3360,0.4412,13,1
3361,0.4583,11,0
3373,0.3478,12,0
3374,0.5917,13,1
3379,0.6,12,0
3381,0.2727,13,0
3386,0.4348,13,0
3388,0.5357,12,0
3390,0.5,12,0
3393,0.3667,13,0
3397,0.5278,13,0
3405,0.3636,12,0
3407,0.2,13,0
3408,0.42,13,0
3414,0.6885,13,0
3418,0.6071,13,0
3419,0.5667,13,0
3451,0.3214,12,0
3452,0.4574,12,1
3454,0.5,12,0
3458,0.5125,12,0
3459,0.4677,12,2
3461,0.5625,12,0
3464,0.4194,12,0
3465,0.25,12,0
3467,0.7313,12,0
3468,0.4545,12,0
3472,0.5,12,0
3473,0.4231,11,0
3476,0.87,12,2
3478,0.8152,12,1
3481,0.5455,12,1
3482,0.6364,12,0
3484,0.3333,12,0
3487,0.45,12,0
3488,0.4643,12,0
3489,0.375,12,0
3490,0.6087,12,0
3491,0.4167,11,0
3492,0.3125,12,0
3494,0.4167,12,0
3501,0.4464,12,0
3504,0.4375,12,1
3506,0.7143,12,1
3507,0.5,12,0
3510,0.4,12,0
3512,0.5,12,1
3515,0.25,12,0
3526,0.4167,11,0
3527,0.3333,12,0
3533,0.5556,11,0
3534,0.6615,12,2
3536,0.6765,12,1
3537,0.5333,12,0
3538,0.7945,11,5
3539,0.7831,12,2
3542,0.4167,12,0
3543,0.3906,12,0
3544,0.2222,12,0
3545,0.3587,12,0
3546,0.5714,12,0
3550,0.6429,12,0
3559,0.4231,12,0
3560,0.4419,9,0
3561,0.2083,11,0
3562,0.3214,10,0
3566,0.5,12,0
3568,0.4667,12,0
3572,0.4583,12,0
3577,0.3333,12,0
3581,0.3704,12,0
3588,0.4615,11,0
3596,0.25,12,0
3598,0.4074,12,0
3602,0.61,12,0
3603,0.5417,12,1
3604,0.5435,12,1
3606,0.4545,12,0
3610,0.7,12,0
3616,0.5185,12,0
3618,0.5119,12,1
3619,0.3654,12,0
3620,0.675,12,0
3623,0.3077,12,0
3624,0.2727,12,0
3627,0.4423,12,0
3630,0.6585,12,1
3632,0.2885,12,0
3634,0.4167,12,0
3635,0.5521,12,0
3636,0.5556,12,0
3637,0.4125,12,0
3641,0.6066,12,0
3647,0.7353,12,0
3648,0.3462,12,0
3653,0.4348,12,0
3654,0.4722,12,2
3655,0.541,12,2
3656,0.5,12,0
3658,0.4032,12,0
3660,0.4545,10,0
3661,0.75,12,1
3663,0.5978,12,1
3667,0.4318,12,1
3668,0.6293,12,1
3669,0.4815,12,0
3673,0.5,12,0
3674,0.5588,12,0
3676,0.3871,12,0
3679,0.4884,12,0
3681,0.4107,9,0
3683,0.663,12,0
3688,0.5227,12,0
3691,0.25,11,0
3692,0.4545,12,0
3695,0.5,12,0
3704,0.3333,12,0
3707,0.6383,12,0
3711,0.5,12,0
3712,0.3125,12,0
3719,0.4286,12,0
3721,0.6471,12,0
3723,0.3333,12,0
3728,0.4167,10,0
3729,0.4667,12,0
3734,0.1,12,0
3735,0.4773,12,0
3737,0.5435,12,0
3739,0.2581,9,0
3740,0.5556,12,0
3748,0.525,12,0
3749,0.35,12,1
3751,0.4,11,0
3753,0.4615,12,0
3755,0.3333,12,0
3759,0.5,12,0
3760,0.45,12,0
3767,0.5435,12,0
3770,0.4419,12,0
3773,0.3333,12,0
3777,0.6667,12,0
3786,0.5333,12,1
3792,0.4722,12,1
3793,0.4286,12,0
3794,0.3182,12,0
3799,0.5556,12,0
3802,0.4828,12,0
3812,0.5167,12,0
3814,0.46,12,0
3815,0.4286,12,0
3821,0.5385,12,0
3822,0.2917,12,0
3824,0.407,12,1
3826,0.3333,12,0
3834,0.4667,12,0
3835,0.551,12,1
3838,0.3333,12,0
3843,0.6,11,0
3847,0.7536,12,3
3848,0.6,12,0
3853,0.6571,12,0
3859,0.4231,12,0
3863,0.4783,12,0
3865,0.25,12,0
